"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"benchmarking.PurchaseOrderBenchmark.phobos0","avgt",1,20,0.002193,0.000408,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos0:·gc.alloc.rate","avgt",1,20,0.027907,0.007365,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos0:·gc.alloc.rate.norm","avgt",1,20,14095.800000,3252.214025,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos0:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos1","avgt",1,20,0.002806,0.000978,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos1:·gc.alloc.rate","avgt",1,20,0.040086,0.014083,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos1:·gc.alloc.rate.norm","avgt",1,20,19379.466667,3333.719963,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos1:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos10","avgt",1,20,0.003587,0.000711,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos10:·gc.alloc.rate","avgt",1,20,0.116521,0.006166,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos10:·gc.alloc.rate.norm","avgt",1,20,61628.000000,3284.690710,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos10:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos100","avgt",1,20,0.004262,0.001360,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos100:·gc.alloc.rate","avgt",1,20,0.864377,0.151377,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos100:·gc.alloc.rate.norm","avgt",1,20,436798.200000,18251.456167,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos100:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos1000","avgt",1,20,0.010106,0.002537,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos1000:·gc.alloc.rate","avgt",1,20,6.957982,0.036922,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos1000:·gc.alloc.rate.norm","avgt",1,20,3728040.000000,3270.024344,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos1000:·gc.count","avgt",1,20,0.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos10000","avgt",1,20,0.058949,0.021282,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.alloc.rate","avgt",1,20,66.303601,3.208190,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.alloc.rate.norm","avgt",1,20,38879469.600000,2017723.533669,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.churn.PS_Eden_Space","avgt",1,20,80.718736,215.756751,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,52507602.800000,140411616.466289,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.churn.PS_Old_Gen","avgt",1,20,0.769704,2.989073,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.churn.PS_Old_Gen.norm","avgt",1,20,522027.200000,2027243.483693,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.churn.PS_Survivor_Space","avgt",1,20,4.685548,15.101141,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.churn.PS_Survivor_Space.norm","avgt",1,20,3131514.400000,10213669.770539,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.count","avgt",1,20,3.000000,NaN,"counts"
"benchmarking.PurchaseOrderBenchmark.phobos10000:·gc.time","avgt",1,20,150.000000,NaN,"ms"
"benchmarking.PurchaseOrderBenchmark.phobos100000","avgt",1,20,0.302539,0.034416,"s/op"
"benchmarking.PurchaseOrderBenchmark.phobos100000:·gc.alloc.rate","avgt",1,20,456.116968,18.714747,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos100000:·gc.alloc.rate.norm","avgt",1,20,383317800.800000,380106.608900,"B/op"
"benchmarking.PurchaseOrderBenchmark.phobos100000:·gc.churn.PS_Eden_Space","avgt",1,20,504.074263,107.293734,"MB/sec"
"benchmarking.PurchaseOrderBenchmark.phobos100000:·gc.churn.PS_Eden_Space.norm","avgt",1,20,424660561.600000,90418859.220538,"B/op"
